team,stadium,lat,lon
ATL,State Farm Arena,33.7573698,-84.3963848
BKN,Barclays Center,40.6825106,-73.9752519
BOS,TD Garden,42.3662986,-71.0621622
CHA,Spectrum Center,35.225098,-80.8391541
CHI,United Center,41.8806831,-87.6741851
CLE,Rocket Mortgage FieldHouse,41.4966862,-81.6885754
DAL,American Airlines Center,32.7905076,-96.8102721
DEN,Ball Arena,39.7486838,-105.007544
DET,Little Caesars Arena,42.3409774,-83.0549545
GS,Chase Center,37.7678927,-122.3874072
HOU,Toyota Center (Houston),29.7507472,-95.3622315
IND,Gainbridge Fieldhouse,39.7639331,-86.1555079
LAC,crypto.com Arena,34.0429979,-118.2671352
LAL,crypto.com Arena,34.0429979,-118.2671352
MEM,FedExForum,35.1382401,-90.0506946
MIA,Kaseya Center,25.7813595,-80.1879435
MIL,Fiserv Forum,43.0450096,-87.9174871
MIN,Target Center,44.9795127,-93.276095
NO,Smoothie King Center,29.9490392,-90.082069
NY,Madison Square Garden,40.7505129,-73.9935159
OKC,Paycom Center,35.4633961,-97.5150815
ORL,Kia Center,28.5392739,-81.3840071
PHI,Wells Fargo Center,39.9011004,-75.1720165
PHX,Footprint Center,33.4460392,-112.0711013
POR,Moda Center,45.5315787,-122.6668337
SA,Frost Bank Center,29.4270504,-98.4375071
SAC,Golden 1 Center,38.5801405,-121.4995008
TOR,Scotiabank Arena,43.6434337,-79.3790777
UTAH,Delta Center,40.7683273,-111.9010551
WSH,Capital One Arena,38.8981883,-77.0209378
