team,stadium,lat,lon
ARI,State Farm Stadium,33.5277957,-112.2626719
ATL,Mercedes-Benz Stadium,33.7554123,-84.4008493
BAL,M&T Bank Stadium,39.278088,-76.623322
BUF,New Era Field,42.7737131,-78.7869032
CAR,Bank of America Stadium,35.225737,-80.8527666
CHI,Soldier Field,41.8624515,-87.6167151
CIN,Paycor Stadium,39.0954645,-84.5160488
CLE,FirstEnergy Stadium,41.5060559,-81.6997118
DAL,AT&T Stadium,32.747841,-97.093628
DEN,Empower Field at Mile High,39.7434472,-105.0132309
DET,Ford Field,42.3399567,-83.0456166
GB,Lambeau Field,44.5009582,-88.061034
HOU,NRG Stadium,29.6848581,-95.4108015
IND,Lucas Oil Stadium,39.7590621,-86.1638376
JAX,TIAA Bank Stadium,30.3239811,-81.6373046
KC,GEHA Field at Arrowhead Stadium,39.048786,-94.484566
LA,SoFi Stadium,33.9534073,-118.3390098
LAC,SoFi Stadium,33.9534073,-118.3390098
LV,Allegiant Stadium,36.0907328,-115.1821384
MIA,Hard Rock Stadium,25.9579017,-80.2376952
MIN,U.S. Bank Stadium,44.9751097,-93.2593387
NE,Gillette Stadium,42.0912526,-71.2644646
NO,Mercedes-Benz Superdome,29.951439,-90.08197
NYG,MetLife Stadium,40.8135238,-74.0734007
NYJ,MetLife Stadium,40.8135238,-74.0734007
PHI,Lincoln Financial Field,39.9009099,-75.1674892
PIT,Acrisure Stadium,40.4467166,-80.0157456
SEA,Lumen Field,47.5953459,-122.3316443
SF,Levi's Stadium,37.4031583,-121.9698314
TB,Raymond James Stadium,27.9759793,-82.504218
TEN,Nissan Stadium,36.1665236,-86.7713148
WAS,FedExField,38.9077002,-76.8633261
