team,stadium,lat,lon
Anaheim Ducks,Honda Center,33.8078316,-117.876534
Arizona Coyotes,Mullett Arena,33.426643,-111.9284887
Boston Bruins,TD Garden,42.3662986,-71.0621622
Buffalo Sabres,KeyBank Center,42.8751466,-78.8766359
Calgary Flames,Scotiabank Saddledome,51.0374124,-114.0519642
Carolina Hurricanes,PNC Arena,35.803398,-78.7219166
Chicago Blackhawks,United Center,41.8806831,-87.6741851
Colorado Avalanche,Ball Arena,39.7486838,-105.007544
Columbus Blue Jackets,Nationwide Arena,39.9691873,-83.00608
Dallas Stars,American Airlines Center,32.7905076,-96.8102721
Detroit Red Wings,Little Caesars Arena,42.3409774,-83.0549545
Edmonton Oilers,Rogers Place,53.5467936,-113.4977946
Florida Panthers,Amerant Bank Arena,26.1583701,-80.3254289
Los Angeles Kings,Crypto.com Arena,34.0429979,-118.2671352
Minnesota Wild,Xcel Energy Center,44.9447659,-93.1010851
Montréal Canadiens,Centre Bell,45.4960599,-73.5692356
Nashville Predators,Bridgestone Arena,36.1589806,-86.7783819
New Jersey Devils,Prudential Center,40.7336045,-74.1710631
New York Islanders,UBS Arena,40.7116942,-73.7259229
New York Rangers,Madison Square Garden,40.7505129,-73.9935159
Ottawa Senators,Canadian Tire Centre,45.2969069,-75.9268973
Philadelphia Flyers,Wells Fargo Center,39.9011004,-75.1720165
Pittsburgh Penguins,PPG Paints Arena,40.4395912,-79.9895408
San Jose Sharks,SAP Center at San Jose,37.3328603,-121.9012247
Seattle Kraken,Climate Pledge Arena,47.6219014,-122.3539905
St. Louis Blues,Enterprise Center,38.6268084,-90.2026393
Tampa Bay Lightning,Amalie Arena,27.942704,-82.4518903
Toronto Maple Leafs,Scotiabank Arena,43.6434337,-79.3790777
Vancouver Canucks,Rogers Arena,49.2779085,-123.1089417
Vegas Golden Knights,T-Mobile Arena,36.102678,-115.1782239
Washington Capitals,Capital One Arena,38.8981883,-77.0209378
Winnipeg Jets,Canada Life Centre,49.8925737,-97.1437218
